id,name,author,serial_number
1,The Hunger Games,Suzanne Collins,439023483
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",439554934
3,Twilight,Stephenie Meyer,316015849
4,To Kill a Mockingbird,Harper Lee,61120081
5,The Great Gatsby,F. Scott Fitzgerald,743273567
6,The Fault in Our Stars,John Green,525478817
7,The Hobbit or There and Back Again,J.R.R. Tolkien,618260307
8,The Catcher in the Rye,J.D. Salinger,316769177
9,Angels & Demons ,Dan Brown,1416524797
10,Pride and Prejudice,Jane Austen,679783261
11,The Kite Runner ,Khaled Hosseini,1594480001
12,Divergent,Veronica Roth,62024035
13,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",451524934
14,Animal Farm: A Fairy Story,George Orwell,452284244
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981
16,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",307269752
17,Catching Fire,Suzanne Collins,439023491
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",043965548X
19, The Fellowship of the Ring,J.R.R. Tolkien,618346252
20,Mockingjay,Suzanne Collins,439023513
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",439358078
22,The Lovely Bones,Alice Sebold,316166685
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",439064864
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",439139600
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",545010225
26,The Da Vinci Code,Dan Brown,307277674
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",439785960
28,Lord of the Flies ,William Golding,140283331
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",743477111
30,Gone Girl,Gillian Flynn,297859382
31,The Help,Kathryn Stockett,399155341
32,Of Mice and Men ,John Steinbeck,142000671
33,Memoirs of a Geisha,Arthur Golden,739326228
34,Fifty Shades of Grey,E.L. James,1612130291
35,O Alquimista,"Paulo Coelho, Alan R. Clarke",61122416
36,The Giver,Lois Lowry,385732554
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,60764899
38,The Time Traveler's Wife,Audrey Niffenegger,965818675
39,A Game of Thrones,George R.R. Martin,553588486
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,143038419
41,The Lightning Thief,Rick Riordan,786838655
42,Little Women,Louisa May Alcott,451529308
43,Jane Eyre,"Charlotte Brontë, Michael Mason",142437204
44,The Notebook,Nicholas Sparks,553816713
